Rank Position,Player ID,Points,Reward Dollars,account id,battlePass level,battlePass progress,image,overall score,overall scorePerMin,overall scorePerMatch,overall wins,overall top3,overall top5,overall top6,overall top10,overall top12,overall top25,overall kills,overall killsPerMin,overall killsPerMatch,overall deaths,overall kd,overall matches,overall winRate,overall minutesPlayed,overall playersOutlived,overall lastModified,solo score,solo scorePerMin,solo scorePerMatch,solo wins,solo top10,solo top25,solo kills,solo killsPerMin,solo killsPerMatch,solo deaths,solo kd,solo matches,solo winRate,solo minutesPlayed,solo playersOutlived,solo lastModified,duo score,duo scorePerMin,duo scorePerMatch,duo wins,duo top5,duo top12,duo kills,duo killsPerMin,duo killsPerMatch,duo deaths,duo kd,duo matches,duo winRate,duo minutesPlayed,duo playersOutlived,duo lastModified,trio score,trio scorePerMin,trio scorePerMatch,trio wins,trio top3,trio top6,trio kills,trio killsPerMin,trio killsPerMatch,trio deaths,trio kd,trio matches,trio winRate,trio minutesPlayed,trio playersOutlived,trio lastModified,squad score,squad scorePerMin,squad scorePerMatch,squad wins,squad top3,squad top6,squad kills,squad killsPerMin,squad killsPerMatch,squad deaths,squad kd,squad matches,squad winRate,squad minutesPlayed,squad playersOutlived,squad lastModified,ltm score,ltm scorePerMin,ltm scorePerMatch,ltm wins,ltm kills,ltm killsPerMin,ltm killsPerMatch,ltm deaths,ltm kd,ltm matches,ltm winRate,ltm minutesPlayed,ltm playersOutlived,ltm lastModified,account name,stats gamepad overall score,stats gamepad overall scorePerMin,stats gamepad overall scorePerMatch,stats gamepad overall wins,stats gamepad overall top3,stats gamepad overall top5,stats gamepad overall top6,stats gamepad overall top10,stats gamepad overall top12,stats gamepad overall top25,stats gamepad overall kills,stats gamepad overall killsPerMin,stats gamepad overall killsPerMatch,stats gamepad overall deaths,stats gamepad overall kd,stats gamepad overall matches,stats gamepad overall winRate,stats gamepad overall minutesPlayed,stats gamepad overall playersOutlived,stats gamepad overall lastModified,stats gamepad solo score,stats gamepad solo scorePerMin,stats gamepad solo scorePerMatch,stats gamepad solo wins,stats gamepad solo top10,stats gamepad solo top25,stats gamepad solo kills,stats gamepad solo killsPerMin,stats gamepad solo killsPerMatch,stats gamepad solo deaths,stats gamepad solo kd,stats gamepad solo matches,stats gamepad solo winRate,stats gamepad solo minutesPlayed,stats gamepad solo playersOutlived,stats gamepad solo lastModified,stats gamepad duo score,stats gamepad duo scorePerMin,stats gamepad duo scorePerMatch,stats gamepad duo wins,stats gamepad duo top5,stats gamepad duo top12,stats gamepad duo kills,stats gamepad duo killsPerMin,stats gamepad duo killsPerMatch,stats gamepad duo deaths,stats gamepad duo kd,stats gamepad duo matches,stats gamepad duo winRate,stats gamepad duo minutesPlayed,stats gamepad duo playersOutlived,stats gamepad duo lastModified,stats gamepad trio score,stats gamepad trio scorePerMin,stats gamepad trio scorePerMatch,stats gamepad trio wins,stats gamepad trio top3,stats gamepad trio top6,stats gamepad trio kills,stats gamepad trio killsPerMin,stats gamepad trio killsPerMatch,stats gamepad trio deaths,stats gamepad trio kd,stats gamepad trio matches,stats gamepad trio winRate,stats gamepad trio minutesPlayed,stats gamepad trio playersOutlived,stats gamepad trio lastModified,stats gamepad squad score,stats gamepad squad scorePerMin,stats gamepad squad scorePerMatch,stats gamepad squad wins,stats gamepad squad top3,stats gamepad squad top6,stats gamepad squad kills,stats gamepad squad killsPerMin,stats gamepad squad killsPerMatch,stats gamepad squad deaths,stats gamepad squad kd,stats gamepad squad matches,stats gamepad squad winRate,stats gamepad squad minutesPlayed,stats gamepad squad playersOutlived,stats gamepad squad lastModified,stats gamepad ltm score,stats gamepad ltm scorePerMin,stats gamepad ltm scorePerMatch,stats gamepad ltm wins,stats gamepad ltm kills,stats gamepad ltm killsPerMin,stats gamepad ltm killsPerMatch,stats gamepad ltm deaths,stats gamepad ltm kd,stats gamepad ltm matches,stats gamepad ltm winRate,stats gamepad ltm minutesPlayed,stats gamepad ltm playersOutlived,stats gamepad ltm lastModified,stats touch overall score,stats touch overall scorePerMin,stats touch overall scorePerMatch,stats touch overall wins,stats touch overall top3,stats touch overall top5,stats touch overall top6,stats touch overall top10,stats touch overall top12,stats touch overall top25,stats touch overall kills,stats touch overall killsPerMin,stats touch overall killsPerMatch,stats touch overall deaths,stats touch overall kd,stats touch overall matches,stats touch overall winRate,stats touch overall minutesPlayed,stats touch overall playersOutlived,stats touch overall lastModified,stats touch solo score,stats touch solo scorePerMin,stats touch solo scorePerMatch,stats touch solo wins,stats touch solo top10,stats touch solo top25,stats touch solo kills,stats touch solo killsPerMin,stats touch solo killsPerMatch,stats touch solo deaths,stats touch solo kd,stats touch solo matches,stats touch solo winRate,stats touch solo minutesPlayed,stats touch solo playersOutlived,stats touch solo lastModified,stats touch ltm score,stats touch ltm scorePerMin,stats touch ltm scorePerMatch,stats touch ltm wins,stats touch ltm kills,stats touch ltm killsPerMin,stats touch ltm killsPerMatch,stats touch ltm deaths,stats touch ltm kd,stats touch ltm matches,stats touch ltm winRate,stats touch ltm minutesPlayed,stats touch ltm playersOutlived,stats touch ltm lastModified
2,Psalm,33.0,"1,800,000",5ca459a055b74b68bd6cd661fcfe0021,28.0,80.0,,871019.0,22.728,104.401,241.0,266.0,246.0,465.0,604.0,551.0,1287.0,10131.0,0.264,1.214,8102.0,1.25,8343.0,2.889,38324.0,250641.0,2020-09-20T18:07:15Z,450063.0,23.049,109.133,86.0,589.0,1264.0,4788.0,0.245,1.161,4038.0,1.186,4124.0,2.085,19526.0,131342.0,2020-09-20T18:07:15Z,194331.0,22.66,91.839,68.0,219.0,508.0,2287.0,0.267,1.081,2048.0,1.117,2116.0,3.214,8576.0,58782.0,2020-09-20T11:26:31Z,91710.0,19.774,195.544,15.0,61.0,117.0,659.0,0.142,1.405,454.0,1.452,469.0,3.198,4638.0,23243.0,2020-08-26T03:42:29Z,134915.0,24.161,82.567,72.0,159.0,281.0,2397.0,0.429,1.467,1562.0,1.535,1634.0,4.406,5584.0,37274.0,2020-09-13T01:22:59Z,100855.0,28.434,131.837,49.0,1532.0,0.432,2.003,716.0,2.14,765.0,6.405,3547.0,19375.0,2020-08-10T01:00:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,King,30.0,"900,000",f3310f14c68f4266a7cf93adf467799b,43.0,19.0,,1240044.0,26.982,109.506,2455.0,2028.0,1462.0,2699.0,616.0,2086.0,864.0,50406.0,1.097,4.451,8869.0,5.683,11324.0,21.68,45958.0,253717.0,2020-09-16T00:17:15Z,128629.0,25.157,84.402,318.0,606.0,852.0,6407.0,1.253,4.204,1206.0,5.313,1524.0,20.866,5113.0,27189.0,2020-09-10T04:06:35Z,386274.0,25.647,95.969,879.0,1418.0,2034.0,16964.0,1.126,4.215,3146.0,5.392,4025.0,21.839,15061.0,81466.0,2020-09-04T07:54:53Z,169838.0,22.766,246.858,70.0,121.0,182.0,1709.0,0.229,2.484,618.0,2.765,688.0,10.174,7460.0,35588.0,2020-09-16T00:17:15Z,555303.0,30.305,109.161,1188.0,1817.0,2412.0,25326.0,1.382,4.979,3899.0,6.496,5087.0,23.354,18324.0,109474.0,2020-09-04T08:40:48Z,106970.0,35.68,199.944,177.0,3930.0,1.311,7.346,358.0,10.978,535.0,33.084,2998.0,13444.0,2020-05-13T05:35:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BELAEU,21.0,"112,500",d110587b88ef45db8bd4141aa86b1301,35.0,55.0,,142386.0,33.291,72.094,332.0,199.0,174.0,255.0,211.0,237.0,314.0,7652.0,1.789,3.874,1643.0,4.657,1975.0,16.81,4277.0,29487.0,2020-09-20T16:37:23Z,76879.0,33.675,105.458,98.0,194.0,292.0,2649.0,1.16,3.634,631.0,4.198,729.0,13.443,2283.0,16482.0,2020-09-20T16:37:23Z,18859.0,28.359,36.337,93.0,173.0,236.0,1688.0,2.538,3.252,426.0,3.962,519.0,17.919,665.0,3942.0,2020-09-06T18:58:19Z,4829.0,34.993,439.0,4.0,5.0,6.0,72.0,0.522,6.545,7.0,10.286,11.0,36.364,138.0,641.0,2020-07-27T23:15:15Z,41819.0,35.113,58.406,137.0,186.0,237.0,3243.0,2.723,4.529,579.0,5.601,716.0,19.134,1191.0,8422.0,2020-09-06T19:20:04Z,16379.0,29.406,88.059,29.0,800.0,1.436,4.301,157.0,5.096,186.0,15.591,557.0,2749.0,2020-09-20T19:06:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Commandment,20.0,"112,500",178099c108944bba92c67c4659239251,10.0,89.0,,389566.0,24.164,111.528,61.0,107.0,126.0,240.0,107.0,265.0,279.0,3068.0,0.19,0.878,3432.0,0.894,3493.0,1.746,16122.0,123735.0,2020-09-21T02:23:48Z,132883.0,23.666,118.223,8.0,95.0,254.0,1014.0,0.181,0.902,1116.0,0.909,1124.0,0.712,5615.0,47525.0,2020-09-21T02:23:48Z,136269.0,25.4,133.728,22.0,118.0,234.0,1141.0,0.213,1.12,997.0,1.144,1019.0,2.159,5365.0,39393.0,2020-08-25T22:42:36Z,2912.0,20.95,121.333,1.0,2.0,3.0,5.0,0.036,0.208,23.0,0.217,24.0,4.167,139.0,962.0,2020-08-24T03:00:27Z,117502.0,23.486,88.614,30.0,81.0,192.0,908.0,0.181,0.685,1296.0,0.701,1326.0,2.262,5003.0,35855.0,2020-08-25T23:12:16Z,251695.0,38.02,134.381,203.0,2768.0,0.418,1.478,1670.0,1.657,1873.0,10.838,6620.0,23401.0,2020-09-01T18:41:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bizzle,19.0,"50,000",2cf1c747bcd84c66a307d648d85c55c8,1.0,0.0,,427093.0,25.888,66.89,282.0,309.0,408.0,550.0,245.0,822.0,504.0,10154.0,0.615,1.59,6103.0,1.664,6385.0,4.417,16498.0,116114.0,2020-09-05T04:23:16Z,66257.0,24.825,42.554,47.0,222.0,453.0,1908.0,0.715,1.225,1510.0,1.264,1557.0,3.019,2669.0,21032.0,2020-09-02T18:16:10Z,179106.0,27.117,67.587,129.0,376.0,746.0,4485.0,0.679,1.692,2521.0,1.779,2650.0,4.868,6605.0,46137.0,2020-09-05T04:23:16Z,20707.0,22.483,171.132,3.0,12.0,24.0,137.0,0.149,1.132,118.0,1.161,121.0,2.479,921.0,6271.0,2020-08-13T20:37:29Z,161023.0,25.547,78.281,103.0,260.0,470.0,3624.0,0.575,1.762,1954.0,1.855,2057.0,5.007,6303.0,42674.0,2020-08-27T05:04:36Z,125616.0,34.015,125.994,139.0,3147.0,0.852,3.156,858.0,3.668,997.0,13.942,3693.0,14979.0,2020-08-18T03:28:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Floelr,,,18f8faa6ac914596bd0b068a442879d1,15.0,67.0,,133860.0,22.902,239.892,29.0,35.0,91.0,53.0,31.0,176.0,53.0,517.0,0.088,0.927,529.0,0.977,558.0,5.197,5845.0,36664.0,2020-09-16T03:35:17Z,24690.0,23.381,214.696,1.0,31.0,53.0,112.0,0.106,0.974,114.0,0.982,115.0,0.87,1056.0,7548.0,2020-08-27T22:36:04Z,81333.0,22.424,233.046,13.0,91.0,176.0,295.0,0.081,0.845,336.0,0.878,349.0,3.725,3627.0,22684.0,2020-09-16T03:35:17Z,197.0,16.417,197.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,58.0,2020-07-03T03:27:42Z,27640.0,24.035,297.204,15.0,34.0,50.0,110.0,0.096,1.183,78.0,1.41,93.0,16.129,1150.0,6374.0,2020-09-03T02:45:23Z,118000.0,20.451,411.15,0.0,1109.0,0.192,3.864,287.0,3.864,287.0,0.0,5770.0,4682.0,2020-08-27T22:11:51Z,Floelr,133822.0,22.907,240.255,29.0,35.0,91.0,53.0,31.0,176.0,53.0,517.0,0.088,0.928,528.0,0.979,557.0,5.206,5842.0,36642.0,2020-09-16T03:35:17Z,24652.0,23.411,216.246,1.0,31.0,53.0,112.0,0.106,0.982,113.0,0.991,114.0,0.877,1053.0,7526.0,2020-08-27T22:36:04Z,81333.0,22.424,233.046,13.0,91.0,176.0,295.0,0.081,0.845,336.0,0.878,349.0,3.725,3627.0,22684.0,2020-09-16T03:35:17Z,197.0,16.417,197.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,58.0,2020-07-03T03:27:42Z,27640.0,24.035,297.204,15.0,34.0,50.0,110.0,0.096,1.183,78.0,1.41,93.0,16.129,1150.0,6374.0,2020-09-03T02:45:23Z,117615.0,20.433,411.241,0.0,1108.0,0.192,3.874,286.0,3.874,286.0,0.0,5756.0,4662.0,2020-08-27T22:11:51Z,38.0,12.667,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,22.0,2020-07-25T20:13:40Z,38.0,12.667,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,22.0,2020-07-25T20:13:40Z,385.0,27.5,385.0,0.0,1.0,0.071,1.0,1.0,1.0,1.0,0.0,14.0,20.0,2020-07-24T02:12:33Z
