Rank Position,Player ID,Points,Reward Dollars,status,account id,battlePass level,battlePass progress,image,overall score,overall scorePerMin,overall scorePerMatch,overall wins,overall top3,overall top5,overall top6,overall top10,overall top12,overall top25,overall kills,overall killsPerMin,overall killsPerMatch,overall deaths,overall kd,overall matches,overall winRate,overall minutesPlayed,overall playersOutlived,overall lastModified,solo score,solo scorePerMin,solo scorePerMatch,solo wins,solo top10,solo top25,solo kills,solo killsPerMin,solo killsPerMatch,solo deaths,solo kd,solo matches,solo winRate,solo minutesPlayed,solo playersOutlived,solo lastModified,duo score,duo scorePerMin,duo scorePerMatch,duo wins,duo top5,duo top12,duo kills,duo killsPerMin,duo killsPerMatch,duo deaths,duo kd,duo matches,duo winRate,duo minutesPlayed,duo playersOutlived,duo lastModified,trio score,trio scorePerMin,trio scorePerMatch,trio wins,trio top3,trio top6,trio kills,trio killsPerMin,trio killsPerMatch,trio deaths,trio kd,trio matches,trio winRate,trio minutesPlayed,trio playersOutlived,trio lastModified,squad score,squad scorePerMin,squad scorePerMatch,squad wins,squad top3,squad top6,squad kills,squad killsPerMin,squad killsPerMatch,squad deaths,squad kd,squad matches,squad winRate,squad minutesPlayed,squad playersOutlived,squad lastModified,ltm score,ltm scorePerMin,ltm scorePerMatch,ltm wins,ltm kills,ltm killsPerMin,ltm killsPerMatch,ltm deaths,ltm kd,ltm matches,ltm winRate,ltm minutesPlayed,ltm playersOutlived,ltm lastModified
15,Dubs,21,"150,000",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pika,21,"112,500",Unavailable,56f45788128e4c5c98f96fd34f4b9eaa,1.0,0.0,,0.0,0.0,0.0,2.0,11.0,2.0,28.0,0.0,9.0,0.0,125.0,0.0,0.845,146.0,0.856,148.0,1.351,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,9.0,29.0,0.0,0.604,48.0,0.604,48.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,11.0,28.0,96.0,0.0,0.96,98.0,0.98,100.0,2.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
17,BELAEU,21,"112,500",Available,d110587b88ef45db8bd4141aa86b1301,35.0,55.0,,142386.0,33.291,72.094,332.0,199.0,174.0,255.0,211.0,237.0,314.0,7652.0,1.789,3.874,1643.0,4.657,1975.0,16.81,4277.0,29487.0,2020-09-20T16:37:23Z,76879.0,33.675,105.458,98.0,194.0,292.0,2649.0,1.16,3.634,631.0,4.198,729.0,13.443,2283.0,16482.0,2020-09-20T16:37:23Z,18859.0,28.359,36.337,93.0,173.0,236.0,1688.0,2.538,3.252,426.0,3.962,519.0,17.919,665.0,3942.0,2020-09-06T18:58:19Z,4829.0,34.993,439.0,4.0,5.0,6.0,72.0,0.522,6.545,7.0,10.286,11.0,36.364,138.0,641.0,2020-07-27T23:15:15Z,41819.0,35.113,58.406,137.0,186.0,237.0,3243.0,2.723,4.529,579.0,5.601,716.0,19.134,1191.0,8422.0,2020-09-06T19:20:04Z,16379.0,29.406,88.059,29.0,800.0,1.436,4.301,157.0,5.096,186.0,15.591,557.0,2749.0,2020-09-20T19:06:51Z
18,Clix,20,"112,500",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Peterpan,20,"112,500",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Commandment,20,"112,500",Available,178099c108944bba92c67c4659239251,10.0,89.0,,389566.0,24.164,111.528,61.0,107.0,126.0,240.0,107.0,265.0,279.0,3068.0,0.19,0.878,3432.0,0.894,3493.0,1.746,16122.0,123735.0,2020-09-21T02:23:48Z,132883.0,23.666,118.223,8.0,95.0,254.0,1014.0,0.181,0.902,1116.0,0.909,1124.0,0.712,5615.0,47525.0,2020-09-21T02:23:48Z,136269.0,25.4,133.728,22.0,118.0,234.0,1141.0,0.213,1.12,997.0,1.144,1019.0,2.159,5365.0,39393.0,2020-08-25T22:42:36Z,2912.0,20.95,121.333,1.0,2.0,3.0,5.0,0.036,0.208,23.0,0.217,24.0,4.167,139.0,962.0,2020-08-24T03:00:27Z,117502.0,23.486,88.614,30.0,81.0,192.0,908.0,0.181,0.685,1296.0,0.701,1326.0,2.262,5003.0,35855.0,2020-08-25T23:12:16Z,251695.0,38.02,134.381,203.0,2768.0,0.418,1.478,1670.0,1.657,1873.0,10.838,6620.0,23401.0,2020-09-01T18:41:52Z
21,Domentos,20,"50,000",Unavailable,334ace71a4474d2dbc49a8f6c1f9731e,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,10.0,0.0,0.133,75.0,0.133,75.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.174,23.0,0.174,23.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.103,39.0,0.103,39.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.154,13.0,0.154,13.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,1.0,3.0,0.0,0.75,3.0,1.0,4.0,25.0,0.0,0.0,1970-01-01T00:00:00Z
22,Skailereu,19,"50,000",Unavailable,01f3f4e412a44ab997fdf5328c730c41,1.0,0.0,,21394.0,23.931,203.752,5.0,0.0,12.0,0.0,3.0,25.0,4.0,200.0,0.224,1.905,100.0,2.0,105.0,4.762,894.0,5013.0,2020-03-29T21:30:49Z,2959.0,30.505,422.714,1.0,3.0,4.0,50.0,0.515,7.143,6.0,8.333,7.0,14.286,97.0,452.0,2020-01-15T18:29:22Z,17048.0,23.038,195.954,4.0,12.0,25.0,127.0,0.172,1.46,83.0,1.53,87.0,4.598,740.0,4020.0,2020-03-29T21:30:49Z,,,,,,,,,,,,,,,,,1387.0,24.333,126.091,0.0,0.0,0.0,23.0,0.404,2.091,11.0,2.091,11.0,0.0,57.0,541.0,2020-01-14T13:33:41Z,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2019-08-19T21:41:26Z
23,Bizzle,19,"50,000",Available,2cf1c747bcd84c66a307d648d85c55c8,1.0,0.0,,427093.0,25.888,66.89,282.0,309.0,408.0,550.0,245.0,822.0,504.0,10154.0,0.615,1.59,6103.0,1.664,6385.0,4.417,16498.0,116114.0,2020-09-05T04:23:16Z,66257.0,24.825,42.554,47.0,222.0,453.0,1908.0,0.715,1.225,1510.0,1.264,1557.0,3.019,2669.0,21032.0,2020-09-02T18:16:10Z,179106.0,27.117,67.587,129.0,376.0,746.0,4485.0,0.679,1.692,2521.0,1.779,2650.0,4.868,6605.0,46137.0,2020-09-05T04:23:16Z,20707.0,22.483,171.132,3.0,12.0,24.0,137.0,0.149,1.132,118.0,1.161,121.0,2.479,921.0,6271.0,2020-08-13T20:37:29Z,161023.0,25.547,78.281,103.0,260.0,470.0,3624.0,0.575,1.762,1954.0,1.855,2057.0,5.007,6303.0,42674.0,2020-08-27T05:04:36Z,125616.0,34.015,125.994,139.0,3147.0,0.852,3.156,858.0,3.668,997.0,13.942,3693.0,14979.0,2020-08-18T03:28:15Z
24,Endretta,19,"50,000",Unavailable,6f329ca43c024b1695c21f75da1b95d7,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.333,9.0,0.333,9.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.333,9.0,0.333,9.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,7.0,0.0,0.152,39.0,0.179,46.0,15.217,0.0,0.0,1970-01-01T00:00:00Z
25,benjyfishy,19,"50,000",Unavailable,8323c5f74664431dac96b09b9c687dc6,1.0,0.0,,1522.0,23.061,101.467,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.136,0.6,15.0,0.6,15.0,0.0,66.0,662.0,2019-02-27T05:14:31Z,1522.0,23.061,101.467,0.0,1.0,2.0,9.0,0.136,0.6,15.0,0.6,15.0,0.0,66.0,662.0,2019-02-27T05:14:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.0,27.312,218.5,0.0,4.0,0.25,2.0,2.0,2.0,2.0,0.0,16.0,83.0,2019-02-27T04:12:10Z
