 account id, account name, battlePass level, battlePass progress, overall score, overall scorePerMin, overall scorePerMatch, overall wins, overall top3, overall top5, overall top6, overall top10, overall top12, overall top25, overall kills, overall killsPerMin, overall killsPerMatch, overall deaths, overall kd, overall matches, overall winRate, overall minutesPlayed, overall playersOutlived, overall lastModified, solo score, solo scorePerMin, solo scorePerMatch, solo wins, solo top10, solo top25, solo kills, solo killsPerMin, solo killsPerMatch, solo deaths, solo kd, solo matches, solo winRate, solo minutesPlayed, solo playersOutlived, solo lastModified, duo score, duo scorePerMin, duo scorePerMatch, duo wins, duo top5, duo top12, duo kills, duo killsPerMin, duo killsPerMatch, duo deaths, duo kd, duo matches, duo winRate, duo minutesPlayed, duo playersOutlived, duo lastModified, trio score, trio scorePerMin, trio scorePerMatch, trio wins, trio top3, trio top6, trio kills, trio killsPerMin, trio killsPerMatch, trio deaths, trio kd, trio matches, trio winRate, trio minutesPlayed, trio playersOutlived, trio lastModified, squad score, squad scorePerMin, squad scorePerMatch, squad wins, squad top3, squad top6, squad kills, squad killsPerMin, squad killsPerMatch, squad deaths, squad kd, squad matches, squad winRate, squad minutesPlayed, squad playersOutlived, squad lastModified, ltm score, ltm scorePerMin, ltm scorePerMatch, ltm wins, ltm kills, ltm killsPerMin, ltm killsPerMatch, ltm deaths, ltm kd, ltm matches, ltm winRate, ltm minutesPlayed, ltm playersOutlived, ltm lastModified
bd98e3aa14d44c469417827242e0105c,Svennoss,1.0,0.0,1780286.0,26.007,106.527,4728.0,821.0,1484.0,1136.0,5184.0,2162.0,6631.0,76417.0,1.116,4.573,11984.0,6.377,16712.0,28.291,68455.0,373365.0,2020-01-18T18:42:06Z,1074636.0,28.894,110.947,3443.0,5051.0,6469.0,49575.0,1.333,5.118,6243.0,7.941,9686.0,35.546,37192.0,226821.0,2020-01-18T18:42:06Z,497276.0,22.4,122.724,770.0,1358.0,1965.0,14615.0,0.658,3.607,3282.0,4.453,4052.0,19.003,22200.0,104679.0,2019-12-23T02:18:45Z,48116.0,20.571,260.086,14.0,32.0,57.0,354.0,0.151,1.914,171.0,2.07,185.0,7.568,2339.0,10041.0,2019-08-25T00:10:51Z,160258.0,23.834,57.461,501.0,708.0,965.0,11873.0,1.766,4.257,2288.0,5.189,2789.0,17.963,6724.0,31824.0,2019-12-14T21:30:10Z,177383.0,28.994,119.611,274.0,7613.0,1.244,5.134,1209.0,6.297,1483.0,18.476,6118.0,34818.0,2019-12-14T19:32:12Z
0214484a97294fc291cad49ad526979d,Derox,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,2.0,4.0,28.0,0.0,0.322,85.0,0.329,87.0,2.299,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.394,33.0,0.394,33.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.273,22.0,0.273,22.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,3.0,4.0,9.0,0.0,0.281,30.0,0.3,32.0,6.25,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
8263a11eb2064bce8cea3fafabd90296,Kamo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599470915cfa43bbbd41bde60f434ead,7ssk7,41.0,47.0,1353063.0,27.669,114.773,1771.0,618.0,745.0,865.0,1619.0,1151.0,2415.0,54419.0,1.113,4.616,10018.0,5.432,11789.0,15.022,48901.0,279083.0,2020-09-14T12:24:55Z,667747.0,28.605,104.992,850.0,1599.0,2388.0,30842.0,1.321,4.849,5510.0,5.597,6360.0,13.365,23344.0,150413.0,2020-09-14T12:24:55Z,348192.0,25.477,126.111,460.0,725.0,1118.0,11460.0,0.839,4.151,2301.0,4.98,2761.0,16.661,13667.0,67549.0,2020-05-29T13:22:41Z,129530.0,24.166,269.854,54.0,75.0,126.0,1191.0,0.222,2.481,426.0,2.796,480.0,11.25,5360.0,23695.0,2020-09-06T11:17:30Z,207594.0,31.791,94.878,407.0,511.0,702.0,10926.0,1.673,4.994,1781.0,6.135,2188.0,18.601,6530.0,37426.0,2020-02-20T12:01:30Z,46935.0,33.311,181.216,58.0,1483.0,1.053,5.726,201.0,7.378,259.0,22.394,1409.0,6951.0,2020-01-23T16:26:27Z
56f45788128e4c5c98f96fd34f4b9eaa,Pika,1.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,28.0,0.0,9.0,0.0,125.0,0.0,0.845,146.0,0.856,148.0,1.351,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,9.0,29.0,0.0,0.604,48.0,0.604,48.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,11.0,28.0,96.0,0.0,0.96,98.0,0.98,100.0,2.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
0b743deb5f5e48d2a0bf7326c21cd76a,Teeqzy,1.0,0.0,2413.0,21.167,31.338,2.0,0.0,0.0,0.0,4.0,1.0,11.0,183.0,1.605,2.377,75.0,2.44,77.0,2.597,114.0,716.0,2020-03-11T19:25:38Z,68.0,17.0,1.36,2.0,4.0,11.0,158.0,39.5,3.16,48.0,3.292,50.0,4.0,4.0,0.0,2020-02-06T13:52:53Z,2345.0,21.318,101.957,0.0,0.0,1.0,25.0,0.227,1.087,23.0,1.087,23.0,0.0,110.0,716.0,2020-03-11T19:25:38Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
6e9827e930e64f88a83d8651a0e487a9,Tchub,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,21.0,0.0,0.778,27.0,0.778,27.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.75,4.0,0.75,4.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.4,5.0,0.4,5.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,0.889,18.0,0.889,18.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
a3a4d6929f37405384b7bc17171e0837,Aydan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,35.0,41.0,0.0,0.196,209.0,0.196,209.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,13.0,35.0,36.0,0.0,0.194,186.0,0.194,186.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.048,21.0,0.048,21.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
178099c108944bba92c67c4659239251,Commandment,10.0,89.0,389457.0,24.169,111.56,61.0,107.0,124.0,240.0,107.0,263.0,279.0,3068.0,0.19,0.879,3430.0,0.894,3491.0,1.747,16114.0,123715.0,2020-09-06T03:38:53Z,132774.0,23.68,118.337,8.0,95.0,254.0,1014.0,0.181,0.904,1114.0,0.91,1122.0,0.713,5607.0,47505.0,2020-09-06T03:38:53Z,136269.0,25.4,133.728,22.0,118.0,234.0,1141.0,0.213,1.12,997.0,1.144,1019.0,2.159,5365.0,39393.0,2020-08-25T22:42:36Z,2912.0,20.95,121.333,1.0,2.0,3.0,5.0,0.036,0.208,23.0,0.217,24.0,4.167,139.0,962.0,2020-08-24T03:00:27Z,117502.0,23.486,88.614,30.0,81.0,192.0,908.0,0.181,0.685,1296.0,0.701,1326.0,2.262,5003.0,35855.0,2020-08-25T23:12:16Z,251180.0,38.063,134.249,203.0,2763.0,0.419,1.477,1668.0,1.656,1871.0,10.85,6599.0,23401.0,2020-08-23T00:41:03Z
6f329ca43c024b1695c21f75da1b95d7,Endretta,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.333,9.0,0.333,9.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.333,9.0,0.333,9.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,7.0,0.0,0.152,39.0,0.179,46.0,15.217,0.0,0.0,1970-01-01T00:00:00Z
