,Player ID,Player Name,Total (Overall),Highest Paying Game,Total (Game),% of Total
79.0,Clayster,James Eubanks,"$1,088,771.68",Call of Duty: Modern Warfare,"$344,000.00",31.60%
80.0,Q,"Fu, Bin","$1,081,544.74",Dota 2,"$1,081,544.74",100.00%
81.0,Stewie2k,Jakey Yip,"$1,077,690.00",Counter-Strike: Global Offensive,"$1,076,740.00",99.91%
82.0,FalleN,Gabriel Toledo,"$1,067,842.41",Counter-Strike: Global Offensive,"$1,059,938.92",99.26%
83.0,TACO,EpitÃ¡cio de Melo,"$1,063,858.27",Counter-Strike: Global Offensive,"$1,063,858.27",100.00%
84.0,Saf,Rocco Morales,"$1,062,997.13",Fortnite,"$1,062,997.13",100.00%
85.0,fer,Fernando Alvarenga,"$1,054,943.90",Counter-Strike: Global Offensive,"$1,054,038.92",99.91%
86.0,Mushi,"Chai, Yee Fung","$1,023,869.17",Dota 2,"$1,023,582.18",99.97%
87.0,Saksa,Martin Sazdov,"$1,022,589.75",Dota 2,"$1,022,589.75",100.00%
88.0,kinG,Thiago Lapp,"$1,019,950.00",Fortnite,"$1,019,800.00",99.99%
89.0,feg,- -,"$1,003,000.00",Shadowverse,"$1,003,000.00",100.00%
90.0,coldzera,Marcelo David,"$1,002,401.46",Counter-Strike: Global Offensive,"$1,002,401.46",100.00%
91.0,sasamumu,- -,"$1,000,000.00",Shadowverse,"$1,000,000.00",100.00%
92.0,Paparazi,"Zhang, Chengjun","$997,233.70",Dota 2,"$997,233.70",100.00%
93.0,Elevate,Hayden Krueger,"$988,533.20",Fortnite,"$987,583.20",99.90%
94.0,pieliedie,Johan ÃstrÃ¶m,"$986,308.66",Dota 2,"$986,308.66",100.00%
95.0,EternaLEnVy,Jacky Mao,"$977,872.69",Dota 2,"$977,872.69",100.00%
96.0,karrigan,Finn Andersen,"$976,822.11",Counter-Strike: Global Offensive,"$945,035.39",96.75%
97.0,NAF,Keith Markovic,"$972,165.66",Counter-Strike: Global Offensive,"$972,165.66",100.00%
98.0,Duke,"Lee, Ho Seong","$954,620.62",League of Legends,"$954,620.62",100.00%
99.0,ELiGE,Jonathan Jablonowski,"$921,346.42",Counter-Strike: Global Offensive,"$920,096.42",99.86%
100.0,nitr0,Nick Cannella,"$920,391.73",Counter-Strike: Global Offensive,"$920,151.73",99.97%
